ticker,field,issue_type,period_end_date,details
WDAY,total_debt,partial_debt_components,2024-01-31,Only one of short_term_debt (None) / long_term_debt (2980000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,total_debt,partial_debt_components,2025-01-31,Only one of short_term_debt (None) / long_term_debt (2984000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
WDAY,total_debt,partial_debt_components,2026-01-31,Only one of short_term_debt (None) / long_term_debt (2987000000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
HUBS,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
HUBS,operating_income,restatement,2022-12-31,Value changed across filings: -109101000 (filed 2023-02-16) -> -102862000 (filed 2025-02-12). Keeping the later filing's value.
HUBS,operating_income,restatement,2023-12-31,Value changed across filings: -208056000 (filed 2024-02-14) -> -200929000 (filed 2026-02-11). Keeping the later filing's value.
HUBS,net_income,restatement,2022-12-31,Value changed across filings: -112749000 (filed 2023-02-16) -> -107347000 (filed 2025-02-12). Keeping the later filing's value.
HUBS,net_income,restatement,2023-12-31,Value changed across filings: -176295000 (filed 2024-02-14) -> -164510000 (filed 2026-02-11). Keeping the later filing's value.
HUBS,income_tax_expense,restatement,2022-12-31,Value changed across filings: 8057000 (filed 2023-02-16) -> 8894000 (filed 2025-02-12). Keeping the later filing's value.
HUBS,income_tax_expense,restatement,2023-12-31,Value changed across filings: 18593000 (filed 2024-02-14) -> 13935000 (filed 2026-02-11). Keeping the later filing's value.
HUBS,pretax_income,restatement,2022-12-31,Value changed across filings: -104692000 (filed 2023-02-16) -> -98453000 (filed 2025-02-12). Keeping the later filing's value.
HUBS,pretax_income,restatement,2023-12-31,Value changed across filings: -157702000 (filed 2024-02-14) -> -150575000 (filed 2026-02-11). Keeping the later filing's value.
HUBS,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
HUBS,operating_cash_flow,tag_fallback,,"Primary tag 'NetCashProvidedByUsedInOperatingActivities' didn't cover every year; filled gaps from ['NetCashProvidedByUsedInOperatingActivitiesContinuingOperations'] (period-by-period, only for dates the higher-priority tag never reports)."
HUBS,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['ConvertibleNotesPayableCurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
HUBS,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleLongTermNotesPayable'] (period-by-period, only for dates the higher-priority tag never reports)."
HUBS,total_debt,partial_debt_components,2017-12-31,Only one of short_term_debt (None) / long_term_debt (298447000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
HUBS,total_debt,partial_debt_components,2019-12-31,Only one of short_term_debt (None) / long_term_debt (340564000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
HUBS,total_debt,partial_debt_components,2024-12-31,Only one of short_term_debt (458184000) / long_term_debt (None) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
HUBS,total_debt,partial_debt_components,2018-12-31,Only one of short_term_debt (None) / long_term_debt (318782000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
TEAM,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
TEAM,capex,restatement,2023-06-30,Value changed across filings: 25652000 (filed 2023-08-18) -> 25812000 (filed 2025-08-15). Keeping the later filing's value.
TEAM,capex,restatement,2024-06-30,Value changed across filings: 32577000 (filed 2024-08-16) -> 33112000 (filed 2025-08-15). Keeping the later filing's value.
TEAM,cash_and_equivalents,tag_fallback,,"Primary tag 'CashAndCashEquivalentsAtCarryingValue' didn't cover every year; filled gaps from ['CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents'] (period-by-period, only for dates the higher-priority tag never reports)."
TEAM,total_debt,partial_debt_components,2025-06-30,Only one of short_term_debt (None) / long_term_debt (987684000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
DDOG,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
DDOG,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
DDOG,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['ConvertibleNotesPayableCurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
DDOG,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleLongTermNotesPayable'] (period-by-period, only for dates the higher-priority tag never reports)."
DDOG,total_debt,partial_debt_components,2020-12-31,Only one of short_term_debt (None) / long_term_debt (575864000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
DDOG,total_debt,partial_debt_components,2021-12-31,Only one of short_term_debt (None) / long_term_debt (735482000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
DDOG,total_debt,partial_debt_components,2022-12-31,Only one of short_term_debt (None) / long_term_debt (738847000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
SNOW,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
SNOW,interest_expense,missing_concept,,"No data found under any of ['InterestExpense', 'InterestExpenseDebt']; field left NULL for all years."
SNOW,cash_and_equivalents,tag_fallback,,"Primary tag 'CashAndCashEquivalentsAtCarryingValue' didn't cover every year; filled gaps from ['CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents'] (period-by-period, only for dates the higher-priority tag never reports)."
SNOW,short_term_debt,missing_concept,,"No data found under any of ['LongTermDebtCurrent', 'ConvertibleDebtCurrent', 'ConvertibleNotesPayableCurrent', 'DebtCurrent', 'ShortTermBorrowings']; field left NULL for all years."
SNOW,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleDebtNoncurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
SNOW,diluted_shares_outstanding,restatement,2021-01-31,Value changed across filings: 141613196 (filed 2022-03-30) -> 141613000 (filed 2023-03-29). Keeping the later filing's value.
SNOW,diluted_shares_outstanding,restatement,2022-01-31,Value changed across filings: 300273227 (filed 2022-03-30) -> 300273000 (filed 2024-03-26). Keeping the later filing's value.
SNOW,total_debt,partial_debt_components,2024-01-31,Only one of short_term_debt (None) / long_term_debt (0) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
SNOW,total_debt,partial_debt_components,2025-01-31,Only one of short_term_debt (None) / long_term_debt (2271529000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
SNOW,total_debt,partial_debt_components,2026-01-31,Only one of short_term_debt (None) / long_term_debt (2279827000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ZS,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
ZS,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
ZS,short_term_debt,tag_fallback,,"Primary tag 'LongTermDebtCurrent' didn't cover every year; filled gaps from ['ConvertibleNotesPayableCurrent'] (period-by-period, only for dates the higher-priority tag never reports)."
ZS,long_term_debt,tag_fallback,,"Primary tag 'LongTermDebtNoncurrent' didn't cover every year; filled gaps from ['ConvertibleLongTermNotesPayable', 'LongTermDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
ZS,total_debt,partial_debt_components,2019-07-31,Only one of short_term_debt (None) / long_term_debt (0) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ZS,total_debt,partial_debt_components,2020-07-31,Only one of short_term_debt (None) / long_term_debt (861615000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ZS,total_debt,partial_debt_components,2021-07-31,Only one of short_term_debt (None) / long_term_debt (913538000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ZS,total_debt,partial_debt_components,2022-07-31,Only one of short_term_debt (None) / long_term_debt (968674000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerIncludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
CRWD,operating_income,restatement,2024-01-31,Value changed across filings: -1995000 (filed 2024-03-07) -> -19141000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,operating_income,restatement,2025-01-31,Value changed across filings: -120430000 (filed 2025-03-10) -> -116400000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,net_income,restatement,2024-01-31,Value changed across filings: 89327000 (filed 2024-03-07) -> 72181000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,net_income,restatement,2025-01-31,Value changed across filings: -19271000 (filed 2025-03-10) -> -15241000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,pretax_income,restatement,2024-01-31,Value changed across filings: 122817000 (filed 2024-03-07) -> 105671000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,pretax_income,restatement,2025-01-31,Value changed across filings: 54534000 (filed 2025-03-10) -> 58564000 (filed 2026-03-05). Keeping the later filing's value.
CRWD,depreciation_amortization,missing_concept,,"No data found under any of ['DepreciationDepletionAndAmortization', 'DepreciationAmortizationAndAccretionNet', 'DepreciationAndAmortization']; field left NULL for all years."
CRWD,cash_and_equivalents,tag_fallback,,"Primary tag 'CashAndCashEquivalentsAtCarryingValue' didn't cover every year; filled gaps from ['CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents'] (period-by-period, only for dates the higher-priority tag never reports)."
CRWD,short_term_debt,missing_concept,,"No data found under any of ['LongTermDebtCurrent', 'ConvertibleDebtCurrent', 'ConvertibleNotesPayableCurrent', 'DebtCurrent', 'ShortTermBorrowings']; field left NULL for all years."
CRWD,total_debt,partial_debt_components,2020-01-31,Only one of short_term_debt (None) / long_term_debt (0) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2021-01-31,Only one of short_term_debt (None) / long_term_debt (738029000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2022-01-31,Only one of short_term_debt (None) / long_term_debt (739517000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2023-01-31,Only one of short_term_debt (None) / long_term_debt (741005000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2024-01-31,Only one of short_term_debt (None) / long_term_debt (742494000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2025-01-31,Only one of short_term_debt (None) / long_term_debt (743983000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
CRWD,total_debt,partial_debt_components,2026-01-31,Only one of short_term_debt (None) / long_term_debt (745471000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
