ticker,field,issue_type,period_end_date,details
CRM,total_debt,partial_debt_components,2016-01-31,Only one of short_term_debt (None) / long_term_debt (1088097000) was reported for this year; total_debt treats the missing one as 0 rather than leaving the total NULL.
ADBE,revenue,restatement,2018-11-30,Value changed across filings: 9030008000 (filed 2019-01-25) -> 9030000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,revenue,restatement,2019-11-29,Value changed across filings: 11171297000 (filed 2020-01-21) -> 11171000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,operating_income,restatement,2018-11-30,Value changed across filings: 2840369000 (filed 2019-01-25) -> 2840000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,operating_income,restatement,2019-11-29,Value changed across filings: 3268121000 (filed 2020-01-21) -> 3268000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,net_income,restatement,2018-11-30,Value changed across filings: 2590774000 (filed 2019-01-25) -> 2591000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,net_income,restatement,2019-11-29,Value changed across filings: 2951458000 (filed 2020-01-21) -> 2951000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,income_tax_expense,restatement,2018-11-30,Value changed across filings: 203102000 (filed 2019-01-25) -> 203000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,income_tax_expense,restatement,2019-11-29,Value changed across filings: 253283000 (filed 2020-01-21) -> 254000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,pretax_income,tag_fallback,,"Primary tag 'IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest' didn't cover every year; filled gaps from ['IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments'] (period-by-period, only for dates the higher-priority tag never reports)."
ADBE,pretax_income,restatement,2018-11-30,Value changed across filings: 2793876000 (filed 2019-01-25) -> 2794000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,pretax_income,restatement,2019-11-29,Value changed across filings: 3204741000 (filed 2020-01-21) -> 3205000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,interest_expense,restatement,2018-11-30,Value changed across filings: 89242000 (filed 2019-01-25) -> 89000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,interest_expense,restatement,2019-11-29,Value changed across filings: 157214000 (filed 2020-01-21) -> 157000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,depreciation_amortization,tag_fallback,,"Primary tag 'DepreciationDepletionAndAmortization' didn't cover every year; filled gaps from ['DepreciationAndAmortization'] (period-by-period, only for dates the higher-priority tag never reports)."
ADBE,depreciation_amortization,restatement,2018-11-30,Value changed across filings: 346492000 (filed 2019-01-25) -> 346000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,depreciation_amortization,restatement,2019-11-29,Value changed across filings: 736669000 (filed 2020-01-21) -> 757000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,capex,restatement,2018-11-30,Value changed across filings: 266579000 (filed 2019-01-25) -> 267000000 (filed 2021-01-15). Keeping the later filing's value.
ADBE,capex,restatement,2019-11-29,Value changed across filings: 394479000 (filed 2020-01-21) -> 395000000 (filed 2022-01-21). Keeping the later filing's value.
ADBE,operating_cash_flow,restatement,2009-11-27,Value changed across filings: 1117772000 (filed 2010-01-22) -> 1117794000 (filed 2012-01-26). Keeping the later filing's value.
ADBE,operating_cash_flow,restatement,2018-11-30,Value changed across filings: 4029304000 (filed 2019-01-25) -> 4029000000 (filed 2021-01-15). Keeping the later filing's value.
